"","loc_tag","long","lat","inout","time_group","PM1.0_CF1_ug/m3","PM2.5_CF1_ug/m3","PM10.0_CF1_ug/m3","RSSI_dbm","Temperature_F","Humidity_%","PM2.5_ATM_ug/m3","ADC","Pressure_hpa","IAQ"
"147","Mirabella",-122.6702,45.4977,"outside","morning",8.67648829431438,14.4500966183575,16.0461166852471,-59.3752792256143,NA,NA,14.3613377926421,0.01,NA,NA
"148","Mirabella",-122.6702,45.4977,"outside","night",8.55592854484555,13.1258355042799,14.2831708224786,-59.1112770724421,NA,NA,12.9541905470785,0.01,NA,NA
"149","Mirabella 18th fl",-122.6702,45.49765,"inside","afternoon",0.945014947683109,1.62177877428998,1.85943198804185,-59.3931240657698,87.8430493273543,28.0269058295964,1.62178624813154,0.05,1012.12696362287,NA
"150","Mirabella 18th fl",-122.6702,45.49765,"inside","morning",0.617699775952203,1.15670649738611,1.3591859596714,-59.6079163554892,87.4727408513816,28.3330843913368,1.15670649738611,0.05,1012.44218518519,NA
"151","Mirabella 18th fl",-122.6702,45.49765,"inside","night",1.0989647411853,1.92417104276069,2.19459864966242,-60.0232558139535,87.1500375093773,28.192048012003,1.92417104276069,0.05,1012.06673348181,NA
"152","Moda Center",-122.6678,45.53155,"outside","afternoon",73.7345,107.8625,113.274,-51.5,72.1,17.9,72.8705,0.03,874.262,NA
"153","Mt Tabor Air Quality",-122.5992,45.51616,"outside","afternoon",8.15606455266138,13.0716138165345,14.6435617214043,-71.8516421291053,68.9966024915062,49.5005662514156,11.2419648924122,0.01,995.959048697622,NA
"154","Mt Tabor Air Quality",-122.5992,45.51616,"outside","morning",5.37801111797406,9.35030265596047,10.9650030883261,-73.4487021013597,62.4153275648949,62.57478368356,9.27941939468808,0.01,1005.3849382716,NA
"155","Mt Tabor Air Quality",-122.5992,45.51616,"outside","night",6.37435555555556,10.5675,12.1544722222222,-73.8155555555556,65.3177777777778,54.6811111111111,10.2921333333333,0.01,1005.64445555556,NA
"156","Mt. Tabor Indoor",-122.6099,45.51653,"inside","afternoon",2.26329696969697,3.54202424242424,3.85951515151515,-66.9212121212121,83.4678787878788,32.5781818181818,3.54203636363636,0,1010.65747878788,NA
"157","Mt. Tabor Indoor",-122.6099,45.51653,"inside","morning",3.59548148148148,5.71814814814815,6.19028395061728,-66.2777777777778,80.3,35.2320987654321,5.59306172839506,0,1010.27754320988,NA
"158","Mt. Tabor Indoor",-122.6099,45.51653,"inside","night",2.4574537037037,3.80400462962963,4.03452546296296,-66.34375,81.0787037037037,33.7881944444444,3.8040162037037,0,1010.97856481481,NA
"159","Mushroom Kingdom Outdoor",-122.6019,45.51485,"outside","afternoon",8.26004074074074,13.4552666666667,15.3493555555556,-66.497037037037,73.3288888888889,49.6651851851852,13.2423555555556,0.0251333333333333,1009.2583037037,NA
"160","Mushroom Kingdom Outdoor",-122.6019,45.51485,"outside","morning",9.45800970873786,16.5972292755788,19.7084204630321,-66.747572815534,62.0619865571322,68.7647498132935,16.2694137415982,0.03,1009.49538461538,NA
"161","Mushroom Kingdom Outdoor",-122.6019,45.51485,"outside","night",9.7228,15.9930481481481,18.5721444444444,-67.0718518518518,64.5637037037037,62.357037037037,15.3655444444444,0.029837037037037,1009.20201481481,NA
"162","NE 17th & Thompson",-122.6487,45.53983,"inside","afternoon",148.6988,228.0056,239.202,-50.46,77.28,17.48,153.5746,0.03,860.984,NA
"163","NE 17th & Thompson",-122.6487,45.53983,"inside","morning",135.525789473684,215.686842105263,226.243684210526,-56.8947368421053,81.2105263157895,15.6315789473684,143.320526315789,0.0294117647058824,862.34,NA
"164","NE Glisan",-122.6248,45.52642,"outside","afternoon",8.07488888888889,12.4317481481481,13.3062851851852,-68.0496296296296,76.1355555555556,48.22,12.3365777777778,0.0331851851851852,1011.66362222222,NA
"165","NE Glisan",-122.6248,45.52642,"outside","morning",9.22375555555556,15.5464518518519,17.0082777777778,-66.4777777777778,65.0874074074074,66.4037037037037,15.368737037037,0.0384074074074074,1011.96938518519,NA
